Property Id,Property Name,Parent Property Id,Parent Property Name,City,Primary Property Type - Portfolio Manager-Calculated,Year Built,Construction Status,Occupancy,Property GFA - Calculated (Buildings and Parking) (ft²),Property GFA - Calculated (Buildings) (ft²),Borough,Metered Areas (Energy),Metered Areas (Water),ENERGY STAR Score,National Median ENERGY STAR Score,Target ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Source EUI (kBtu/ft²),Source Energy Use (kBtu),Green Power - Onsite and Offsite (kWh),eGRID Output Emissions Rate (kgCO2e/MBtu),Percent of Electricity that is Green Power,"Alert - Data Center Issue (with Estimates, IT Configuration, or IT Meter)",Alert - Energy Meter has less than 12 full calendar months of data,Alert - Energy Meter has gaps,Alert - Energy Meter has overlaps,Alert - Energy - No meters selected for metrics,Alert - Energy Meter has single entry more than 65 days,Alert - Water Meter has less than 12 full calendar months of data,Alert - Property has no uses,Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft²),Net Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),Building Age,Base LL97 Penalty,Base Penalty $/ft²,Decade Built,Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),District Steam Use (kBtu),Diesel #2 Use (kBtu),District Hot Water Use (kBtu),District Chilled Water Use (kBtu),Natural Gas Use (kBtu),Electricity Use - Grid Purchase (kBtu),GHG Emissions Intensity,Calculated Limit,Excess Emissions
5861015,383 Lafayette Street,Standalone,Standalone,New York City,Office,1913,Existing,100,67964.0,67964.0,Manhattan,Whole Property,Whole Property,85.0,50,90.0,46.0,3125654.9,101.7,6910234.5,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,208.9,3.1,208.9,377.3,108,0.0,0.8237,1910s,,,,,,,,,1052342.4,2073312.5,0.0030736860690954034,339.82,0.0
5871121,Barney Building,Standalone,Standalone,New York City,College/University,1920,Existing,100,69388.0,69388.0,Manhattan,Whole Property,Whole Property,,50,,78.0,5410960.8,123.5,8572491.1,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,384.8,5.5,384.8,562.5,101,10146.480000000003,1.4862,1920s,,2931547.8,,,,,,,760416.3,1718996.7,0.005545627486020638,346.94,37.860000000000014
5871150,Central Plaza,Standalone,Standalone,New York City,College/University,1928,Existing,100,57651.0,57651.0,Manhattan,Whole Property,Whole Property,,50,,81.6,4702858.3,161.3,9301535.7,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,301.3,5.2,301.3,337.3,93,3496.060000000004,1.4006,1920s,,,,,,,,,2209410.0,2493448.3,0.005226275346481415,288.255,13.045000000000016
5871172,Duke Mansion,Standalone,Standalone,New York City,College/University,1909,Existing,100,60099.0,60099.0,Manhattan,Whole Property,Whole Property,,50,,43.1,2591492.5,70.7,4250150.7,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,155.7,2.6,155.7,397.7,112,0.0,0.6943,1900s,,,,,,,,,1717730.4,873762.1,0.002590725303249638,300.495,0.0
5882637,Meyer / 4 Washington Place,3616399,NYU: Washington Square CoGen Campus,New York City,College/University,1971,Existing,100,113715.0,113715.0,Manhattan,Partial Property,Whole Property,,50,,0.0,0.0,0.0,0.0,0.0,73.8,,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,0.0,0.0,0.0,,50,0.0,0.0,1970s,,0.0,,,,,,,0.0,0.0,0.0,568.575,0.0
6858341,Dibner Library / 5 MetroTech (S),Standalone,Standalone,New York City,College/University,1930,Existing,100,128252.0,128252.0,Brooklyn,Whole Property,Whole Property,,50,,62.7,8040684.6,132.3,16968341.6,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,527.8,4.1,527.8,720.5,91,0.0,1.1029,1930s,,,,,,,,,3168900.1,4871784.4,0.004115335433365561,641.26,0.0
6273171,1272-1278 Grand Concourse,Standalone,Standalone,New York City,Multifamily Housing,1928,Existing,100,52800.0,52800.0,Bronx,Whole Property,Whole Property,20.0,50,,91.3,4821011.5,131.3,6932807.7,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,278.2,5.3,278.2,226.4,93,3805.5999999999967,1.4121,1920s,,,,,,,,,3752014.0,1068997.5,0.0052689393939393935,264.0,14.199999999999989
15504004,1140-1150 Anderson Ave,Standalone,Standalone,New York City,Multifamily Housing,1927,Existing,100,97846.0,97846.0,Bronx,Whole Property,Whole Property,15.0,50,,96.5,9445635.3,135.7,13276496.3,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,541.4,5.5,541.4,420.4,94,13981.559999999989,1.4829,1920s,,,,,,,,,7526447.2,1919188.1,0.005533184800605032,489.23,52.16999999999996
6798009,144-07 Sanford Avenue,Standalone,Standalone,New York City,Multifamily Housing,1951,Existing,100,76955.0,76955.0,Queens,Whole Property,Whole Property,61.0,50,,76.8,5906379.0,102.5,7884174.7,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,333.6,4.3,333.6,359.1,70,0.0,1.1618,1950s,,,,,,,,,4944963.8,961415.3,0.0043350009745955435,384.77500000000003,0.0
6273162,108 Field Place,Standalone,Standalone,New York City,Multifamily Housing,1926,Existing,100,53750.0,53750.0,Bronx,Whole Property,Whole Property,19.0,50,,100.8,5417921.7,143.7,7722239.6,0.0,73.8,0.0,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,0.0,311.8,5.8,311.8,250.5,95,11537.400000000003,1.5546,1920s,,,,,,,,,4255966.5,1161955.3,0.0058009302325581396,268.75,43.05000000000001
